日期,产品名,品类,单价,销量,天气,是否周末,门店
2025-05-01,经典奶茶,奶茶,12,15,阴,否,望京店
2025-05-01,珍珠奶茶,奶茶,15,18,阴,否,望京店
2025-05-01,芋泥奶茶,奶茶,18,17,阴,否,望京店
2025-05-01,黑糖鹿丸奶茶,奶茶,20,18,阴,否,望京店
2025-05-01,椰椰奶茶,奶茶,19,25,阴,否,望京店
2025-05-01,柠檬绿茶,果茶,10,25,阴,否,望京店
2025-05-01,满杯西柚,果茶,16,6,阴,否,望京店
2025-05-01,杨枝甘露,果茶,22,8,阴,否,望京店
2025-05-01,百香果绿茶,果茶,13,16,阴,否,望京店
2025-05-01,霸气芝士葡萄,果茶,24,10,阴,否,望京店
2025-05-01,美式咖啡,咖啡,15,11,阴,否,望京店
2025-05-01,拿铁,咖啡,18,18,阴,否,望京店
2025-05-01,生椰拿铁,咖啡,22,14,阴,否,望京店
2025-05-01,摩卡,咖啡,20,9,阴,否,望京店
2025-05-01,薯条,小吃,10,11,阴,否,望京店
2025-05-01,鸡米花,小吃,12,7,阴,否,望京店
2025-05-01,华夫饼,小吃,15,8,阴,否,望京店
2025-05-01,吐司,小吃,8,8,阴,否,望京店
2025-05-01,经典奶茶,奶茶,12,17,阴,否,中关村店
2025-05-01,珍珠奶茶,奶茶,15,20,阴,否,中关村店
2025-05-01,芋泥奶茶,奶茶,18,17,阴,否,中关村店
2025-05-01,黑糖鹿丸奶茶,奶茶,20,14,阴,否,中关村店
2025-05-01,椰椰奶茶,奶茶,19,14,阴,否,中关村店
2025-05-01,柠檬绿茶,果茶,10,18,阴,否,中关村店
2025-05-01,满杯西柚,果茶,16,18,阴,否,中关村店
2025-05-01,杨枝甘露,果茶,22,10,阴,否,中关村店
2025-05-01,百香果绿茶,果茶,13,20,阴,否,中关村店
2025-05-01,霸气芝士葡萄,果茶,24,10,阴,否,中关村店
2025-05-01,美式咖啡,咖啡,15,8,阴,否,中关村店
2025-05-01,拿铁,咖啡,18,12,阴,否,中关村店
2025-05-01,生椰拿铁,咖啡,22,16,阴,否,中关村店
2025-05-01,摩卡,咖啡,20,11,阴,否,中关村店
2025-05-01,薯条,小吃,10,8,阴,否,中关村店
2025-05-01,鸡米花,小吃,12,1,阴,否,中关村店
2025-05-01,华夫饼,小吃,15,10,阴,否,中关村店
2025-05-01,吐司,小吃,8,4,阴,否,中关村店
2025-05-02,经典奶茶,奶茶,12,11,雨,否,望京店
2025-05-02,珍珠奶茶,奶茶,15,14,雨,否,望京店
2025-05-02,芋泥奶茶,奶茶,18,25,雨,否,望京店
2025-05-02,黑糖鹿丸奶茶,奶茶,20,14,雨,否,望京店
2025-05-02,椰椰奶茶,奶茶,19,15,雨,否,望京店
2025-05-02,柠檬绿茶,果茶,10,12,雨,否,望京店
2025-05-02,满杯西柚,果茶,16,13,雨,否,望京店
2025-05-02,杨枝甘露,果茶,22,8,雨,否,望京店
2025-05-02,百香果绿茶,果茶,13,10,雨,否,望京店
2025-05-02,霸气芝士葡萄,果茶,24,9,雨,否,望京店
2025-05-02,美式咖啡,咖啡,15,9,雨,否,望京店
2025-05-02,拿铁,咖啡,18,9,雨,否,望京店
2025-05-02,生椰拿铁,咖啡,22,13,雨,否,望京店
2025-05-02,摩卡,咖啡,20,9,雨,否,望京店
2025-05-02,薯条,小吃,10,9,雨,否,望京店
2025-05-02,鸡米花,小吃,12,1,雨,否,望京店
2025-05-02,华夫饼,小吃,15,6,雨,否,望京店
